,지역,주문건수,확진자수
2020년09월,대전,10960,104
2020년10월,대전,10503,82
2020년11월,대전,10758,52
2020년12월,대전,11522,351
2021년01월,대전,8545,252
2021년02월,대전,9659,93
2019년08월,울산,27,0
2019년09월,울산,7,0
2019년10월,울산,4,0
2019년11월,울산,1,0
2020년02월,울산,0,17
2020년03월,울산,0,22
2020년04월,울산,0,4
2020년05월,울산,0,9
2020년06월,울산,182,3
2020년07월,울산,325,4
2020년08월,울산,521,30
2020년09월,울산,997,58
2020년10월,울산,3743,16
2020년11월,울산,3790,35
2020년12월,울산,6790,475
2021년01월,울산,15372,264
2021년02월,울산,15581,76
2019년08월,세종,100,0
2019년09월,세종,135,0
2019년10월,세종,303,0
2019년11월,세종,308,0
2019년12월,세종,186,0
2020년01월,세종,339,0
2020년02월,세종,412,1
2020년03월,세종,407,45
2020년04월,세종,361,0
2020년05월,세종,346,1
2020년06월,세종,489,3
2020년07월,세종,453,0
2020년08월,세종,757,17
2020년09월,세종,85,9
2020년10월,세종,0,6
2020년11월,세종,0,18
2020년12월,세종,0,49
2021년01월,세종,0,47
2021년02월,세종,0,30
2019년08월,경기,299344,0
2019년09월,경기,265354,0
2019년10월,경기,347705,0
2019년11월,경기,413828,0
2019년12월,경기,478827,0
2020년01월,경기,478539,0
2020년02월,경기,534376,82
2020년03월,경기,577633,394
2020년04월,경기,590700,200
2020년05월,경기,636826,164
2020년06월,경기,627101,367
2020년07월,경기,645286,339
2020년08월,경기,780716,1714
2020년09월,경기,641201,1124
2020년10월,경기,627029,1019
2020년11월,경기,676278,1874
2020년12월,경기,868207,7173
2021년01월,경기,726713,5353
2021년02월,경기,713518,3747
2019년08월,강원,7794,0
2019년09월,강원,6101,0
2019년10월,강원,6030,0
2019년11월,강원,4848,0
2019년12월,강원,2083,0
2020년01월,강원,2003,0
2020년02월,강원,2369,7
2020년03월,강원,2889,29
2020년04월,강원,2945,17
2020년05월,강원,2515,4
2020년06월,강원,2541,8
2020년07월,강원,2642,9
2020년08월,강원,4317,115
2020년09월,강원,3030,35
2020년10월,강원,2893,55
2020년11월,강원,3306,373
2020년12월,강원,5625,555
2021년01월,강원,5552,488
2021년02월,강원,4343,169
2019년08월,충북,11614,0
2019년09월,충북,10646,0
2019년10월,충북,13143,0
2019년11월,충북,13690,0
2019년12월,충북,16060,0
2020년01월,충북,15577,0
2020년02월,충북,16764,10
2020년03월,충북,20216,34
2020년04월,충북,23213,1
2020년05월,충북,21283,15
2020년06월,충북,20908,5
2020년07월,충북,23821,8
2020년08월,충북,27619,55
2020년09월,충북,21007,43
2020년10월,충북,17177,18
2020년11월,충북,21223,138
2020년12월,충북,25247,836
2021년01월,충북,20782,411
2021년02월,충북,17917,182
2019년08월,충남,11376,0
2019년09월,충남,14431,0
2019년10월,충남,16460,0
2019년11월,충남,22322,0
2019년12월,충남,27426,0
2020년01월,충남,27309,0
2020년02월,충남,30632,55
2020년03월,충남,35160,73
2020년04월,충남,35028,15
2020년05월,충남,39477,3
2020년06월,충남,41551,21
2020년07월,충남,51838,23
2020년08월,충남,52538,142
2020년09월,충남,36806,152
2020년10월,충남,40844,57
2020년11월,충남,49043,358
2020년12월,충남,93606,754
2021년01월,충남,83349,363
2021년02월,충남,91050,428
2019년08월,전북,23219,0
2019년09월,전북,33516,0
2019년10월,전북,30310,0
2019년11월,전북,25616,0
2019년12월,전북,26376,0
2020년01월,전북,25099,0
2020년02월,전북,25272,5
2020년03월,전북,30561,8
2020년04월,전북,33487,5
2020년05월,전북,36346,3
2020년06월,전북,35030,6
2020년07월,전북,41431,12
2020년08월,전북,50746,48
2020년09월,전북,38549,41
2020년10월,전북,43155,38
2020년11월,전북,14194,168
2020년12월,전북,10605,503
2021년01월,전북,14140,202
2021년02월,전북,12264,152
2019년08월,전남,17968,0
2019년09월,전남,28493,0
2019년10월,전남,30653,0
2019년11월,전남,23611,0
2019년12월,전남,11357,0
2020년01월,전남,7191,0
2020년02월,전남,4725,3
2020년03월,전남,4793,6
2020년04월,전남,6198,6
2020년05월,전남,10962,4
2020년06월,전남,13252,5
2020년07월,전남,19709,14
2020년08월,전남,28687,104
2020년09월,전남,24271,27
2020년10월,전남,24968,16
2020년11월,전남,31327,239
2020년12월,전남,38485,136
2021년01월,전남,38004,189
2021년02월,전남,35979,110
2019년08월,경북,31281,0
2019년09월,경북,37805,0
2019년10월,경북,35883,0
2019년11월,경북,29647,0
2019년12월,경북,35730,0
2020년01월,경북,34977,0
2020년02월,경북,37654,488
2020년03월,경북,43038,812
2020년04월,경북,43004,65
2020년05월,경북,45563,14
2020년06월,경북,48467,10
2020년07월,경북,47355,12
2020년08월,경북,58983,54
2020년09월,경북,50827,96
2020년10월,경북,61048,36
2020년11월,경북,70293,117
2020년12월,경북,90072,720
2021년01월,경북,84101,593
2021년02월,경북,75333,236
2019년08월,경남,71762,0
2019년09월,경남,64888,0
2019년10월,경남,68829,0
2019년11월,경남,71090,0
2019년12월,경남,62466,0
2020년01월,경남,56157,0
2020년02월,경남,62905,59
2020년03월,경남,63919,37
2020년04월,경남,50081,21
2020년05월,경남,51012,6
2020년06월,경남,51733,11
2020년07월,경남,57208,25
2020년08월,경남,66744,77
2020년09월,경남,57721,55
2020년10월,경남,64159,25
2020년11월,경남,76039,309
2020년12월,경남,104039,700
2021년01월,경남,96274,686
2021년02월,경남,76149,172
2019년08월,제주,8746,0
2019년09월,제주,11947,0
2019년10월,제주,12058,0
2019년11월,제주,11652,0
2019년12월,제주,13414,0
2020년01월,제주,15066,0
2020년02월,제주,15131,2
2020년03월,제주,16675,7
2020년04월,제주,16152,4
2020년05월,제주,16741,2
2020년06월,제주,16944,4
2020년07월,제주,20077,7
2020년08월,제주,23961,19
2020년09월,제주,19496,14
2020년10월,제주,22543,0
2020년11월,제주,22644,21
2020년12월,제주,28703,336
2021년01월,제주,23334,106
2021년02월,제주,22985,48
